날짜,주식,주가변동여부,거래량변동여부
2021-05-31,iMBC,1,1
2021-05-28,iMBC,1,0
2021-05-27,iMBC,1,0
2021-05-26,iMBC,1,1
2021-05-25,iMBC,1,0
2021-05-24,iMBC,0,0
2021-05-21,iMBC,1,1
2021-05-20,iMBC,1,0
2021-05-18,iMBC,1,1
2021-05-17,iMBC,0,0
2021-05-14,iMBC,1,1
2021-05-13,iMBC,0,1
2021-05-12,iMBC,0,1
2021-05-11,iMBC,0,1
2021-05-10,iMBC,1,0
2021-05-07,iMBC,1,0
2021-05-06,iMBC,0,0
2021-05-04,iMBC,1,0
2021-05-03,iMBC,0,1
2021-04-30,iMBC,0,0
2021-04-29,iMBC,1,0
2021-04-28,iMBC,0,1
2021-04-27,iMBC,0,0
2021-04-26,iMBC,1,1
2021-04-23,iMBC,0,0
2021-04-22,iMBC,0,1
2021-04-21,iMBC,0,0
2021-04-20,iMBC,1,0
2021-04-19,iMBC,0,1
2021-04-16,iMBC,0,0
2021-04-15,iMBC,0,0
2021-04-14,iMBC,0,0
2021-04-13,iMBC,1,1
2021-04-12,iMBC,0,0
2021-04-09,iMBC,1,1
2021-04-08,iMBC,0,0
2021-04-07,iMBC,0,0
2021-04-06,iMBC,0,1
2021-04-05,iMBC,1,1
2021-04-02,iMBC,0,1
2021-04-01,iMBC,0,0
2021-03-31,iMBC,0,1
2021-03-30,iMBC,0,0
2021-03-29,iMBC,1,0
2021-03-26,iMBC,1,0
2021-03-25,iMBC,1,0
2021-03-24,iMBC,1,1
2021-03-23,iMBC,1,1
2021-03-22,iMBC,0,0
2021-03-19,iMBC,0,0
2021-03-18,iMBC,1,1
2021-03-17,iMBC,1,1
2021-03-16,iMBC,1,0
2021-03-15,iMBC,0,1
2021-03-12,iMBC,1,1
2021-03-11,iMBC,1,0
2021-03-10,iMBC,0,0
2021-03-09,iMBC,0,1
2021-03-08,iMBC,0,1
2021-03-05,iMBC,0,0
2021-03-04,iMBC,0,0
2021-03-03,iMBC,0,0
2021-03-02,iMBC,0,1
2021-02-26,iMBC,1,1
2021-02-25,iMBC,1,0
2021-02-24,iMBC,0,1
2021-02-23,iMBC,0,0
2021-02-22,iMBC,0,0
2021-02-19,iMBC,0,1
2021-02-18,iMBC,1,0
2021-02-17,iMBC,1,1
2021-02-16,iMBC,1,1
2021-02-15,iMBC,0,0
2021-02-10,iMBC,1,0
2021-02-09,iMBC,0,0
2021-02-08,iMBC,1,0
2021-02-05,iMBC,1,1
2021-02-04,iMBC,0,0
2021-02-03,iMBC,1,1
2021-02-02,iMBC,1,1
2021-02-01,iMBC,1,1
2021-01-29,iMBC,0,1
2021-01-28,iMBC,1,0
2021-01-27,iMBC,0,1
2021-01-26,iMBC,0,1
2021-01-25,iMBC,0,0
2021-01-22,iMBC,1,1
2021-01-21,iMBC,0,0
2021-01-20,iMBC,1,0
2021-01-19,iMBC,1,1
2021-01-18,iMBC,0,0
2021-01-15,iMBC,1,1
2021-01-14,iMBC,0,1
2021-01-13,iMBC,0,0
2021-01-12,iMBC,1,0
2021-01-11,iMBC,0,0
2021-01-08,iMBC,1,1
2021-01-07,iMBC,1,1
2021-01-06,iMBC,1,0
2021-01-05,iMBC,1,0
2021-01-04,iMBC,1,0
2020-12-30,iMBC,1,0
2020-12-29,iMBC,1,1
2020-12-28,iMBC,0,0
2020-12-24,iMBC,1,1
2021-07-16,하이브,0,0
2021-07-15,하이브,1,0
2021-07-14,하이브,1,1
2021-07-13,하이브,1,1
2021-07-12,하이브,0,0
2021-07-09,하이브,1,1
2021-07-08,하이브,0,1
2021-07-07,하이브,0,1
2021-07-06,하이브,0,0
2021-07-05,하이브,1,0
2021-07-02,하이브,1,0
2021-07-01,하이브,1,0
2021-06-30,하이브,1,0
2021-06-29,하이브,0,1
2021-06-28,하이브,0,0
2021-06-25,하이브,0,0
2021-06-24,하이브,1,0
2021-06-23,하이브,0,1
2021-06-22,하이브,1,1
2021-06-21,하이브,0,0
2021-06-18,하이브,1,1
2021-06-17,하이브,1,1
2021-06-16,하이브,1,1
2021-06-15,하이브,1,0
2021-06-14,하이브,1,1
2021-06-11,하이브,1,0
2021-06-10,하이브,1,1
2021-06-09,하이브,0,1
2021-06-08,하이브,0,0
2021-06-07,하이브,0,0
2021-06-04,하이브,0,0
2021-06-03,하이브,1,1
2021-06-02,하이브,1,1
2021-06-01,하이브,0,0
2021-05-31,하이브,1,0
2021-05-28,하이브,1,0
2021-05-27,하이브,0,1
2021-05-26,하이브,0,0
2021-05-25,하이브,0,0
2021-05-24,하이브,1,1
2021-05-21,하이브,0,1
2021-05-20,하이브,1,0
2021-05-18,하이브,1,1
2021-05-17,하이브,1,0
2021-05-14,하이브,1,0
2021-05-13,하이브,0,0
2021-05-12,하이브,0,1
2021-05-11,하이브,1,0
2021-05-10,하이브,1,1
2021-05-07,하이브,1,0
2021-05-06,하이브,1,1
2021-05-04,하이브,1,1
2021-05-03,하이브,0,1
2021-04-30,하이브,0,1
2021-04-29,하이브,0,0
2021-04-28,하이브,0,1
2021-04-27,하이브,0,1
2021-04-26,하이브,1,0
2021-04-23,하이브,1,0
2021-04-22,하이브,1,1
2021-04-21,하이브,0,1
2021-04-20,하이브,1,0
2021-04-19,하이브,0,0
2021-04-16,하이브,0,0
2021-04-15,하이브,1,1
2021-04-14,하이브,0,1
2021-04-13,하이브,0,0
2021-04-12,하이브,0,0
2021-04-09,하이브,0,0
2021-04-08,하이브,0,0
2021-04-07,하이브,1,1
2021-04-06,하이브,1,0
2021-04-05,하이브,1,1
2021-04-02,하이브,1,1
2021-04-01,하이브,0,1
2021-03-31,하이브,1,0
2021-03-30,하이브,1,1
2021-03-29,하이브,0,0
2021-03-26,하이브,1,1
2021-03-25,하이브,1,1
2021-03-24,하이브,0,0
2021-03-23,하이브,0,0
2021-03-22,하이브,1,0
2021-03-19,하이브,0,0
2021-03-18,하이브,1,0
2021-03-17,하이브,1,1
2021-03-16,하이브,1,0
2021-03-15,하이브,0,0
2021-03-12,하이브,1,1
2021-03-11,하이브,1,1
2021-03-10,하이브,0,0
